product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
e14158cd492e57786ac19f9032be3607,eletroportateis,56.0,636.0,4.0,200.0,16.0,12.0,15.0,2024-01-23 12:52:53.013785
e63a0e880c77030596b66c92dee7f295,esporte_lazer,54.0,1271.0,2.0,2900.0,20.0,20.0,20.0,2024-01-23 12:52:53.013785
2d760d94cb67db3551e9a01ceb060161,informatica_acessorios,43.0,1276.0,1.0,1183.0,59.0,10.0,15.0,2024-01-23 12:52:53.013785
d16a80644f464c2525a662b0567c281f,cama_mesa_banho,60.0,82.0,1.0,350.0,20.0,2.0,15.0,2024-01-23 12:52:53.013785
705be5f57de9f02f46b9b2ac3f7ebc8a,utilidades_domesticas,55.0,373.0,2.0,750.0,35.0,36.0,35.0,2024-01-23 12:52:53.013785
a936128139f1e619828901ea0e771330,informatica_acessorios,52.0,145.0,2.0,250.0,30.0,8.0,20.0,2024-01-23 12:52:53.013785
12722654d210214a6fa95baae1e37941,moveis_decoracao,56.0,1892.0,5.0,3000.0,69.0,11.0,11.0,2024-01-23 12:52:53.013785
c22d563bae38dd4598dc104eefa52224,moveis_decoracao,60.0,430.0,1.0,300.0,40.0,10.0,30.0,2024-01-23 12:52:53.013785
4c0f34e546c8f735ab44af10ca679f20,cama_mesa_banho,50.0,186.0,1.0,400.0,26.0,8.0,20.0,2024-01-23 12:52:53.013785
674d9e3c3964c35239687c920b19a307,telefonia,48.0,650.0,3.0,100.0,19.0,3.0,11.0,2024-01-23 12:52:53.013785
80d2404aa74015aa6cd21863642295f7,bebes,48.0,704.0,3.0,5700.0,60.0,20.0,50.0,2024-01-23 12:52:53.013785
7942dc4e2a8873cc25cf1c5dc6036390,esporte_lazer,52.0,1648.0,4.0,2200.0,30.0,20.0,20.0,2024-01-23 12:52:53.013785
cb0fe29b88df5b43cb3d434b6b0e8db4,utilidades_domesticas,31.0,909.0,4.0,1525.0,65.0,10.0,25.0,2024-01-23 12:52:53.013785
32a0c903321b383d2df2bb7d835ad2e8,utilidades_domesticas,46.0,467.0,1.0,5000.0,88.0,58.0,13.0,2024-01-23 12:52:53.013785
b35e00b01694e1efa3577d14965f2205,artigos_de_natal,55.0,360.0,3.0,850.0,30.0,11.0,20.0,2024-01-23 12:52:53.013785
e635e8a5d128d27888d6bf5aace09298,telefonia,59.0,734.0,6.0,200.0,18.0,5.0,12.0,2024-01-23 12:52:53.013785
fa928ac86f42e63887184bc28cb452fc,fashion_bolsas_e_acessorios,59.0,1469.0,3.0,150.0,25.0,8.0,18.0,2024-01-23 12:52:53.013785
e6cca1e56d395424edec4a6346b5d4d0,relogios_presentes,55.0,1244.0,2.0,500.0,20.0,12.0,15.0,2024-01-23 12:52:53.013785
33fd25c03ded294654c7d7ed6677c475,utilidades_domesticas,41.0,874.0,1.0,4213.0,35.0,17.0,22.0,2024-01-23 12:52:53.013785
b370dd237db6a8a0bd74a6da9e367a80,cama_mesa_banho,58.0,387.0,2.0,2150.0,38.0,9.0,27.0,2024-01-23 12:52:53.013785
c5bf5c2b99a640123e9225fecd004e3a,brinquedos,45.0,449.0,1.0,900.0,29.0,40.0,21.0,2024-01-23 12:52:53.013785
00fd6afd95fe066db8433832180a5369,telefonia,46.0,1654.0,4.0,299.0,14.0,11.0,13.0,2024-01-23 12:52:53.013785
10335f29114548c89998eb43398f58e5,relogios_presentes,59.0,718.0,5.0,250.0,16.0,2.0,11.0,2024-01-23 12:52:53.013785
fa7e460c8ef762c029b4042723e481c7,brinquedos,58.0,202.0,4.0,150.0,16.0,7.0,11.0,2024-01-23 12:52:53.013785
4754d89182db4010eabbf20da5fb7191,utilidades_domesticas,54.0,527.0,1.0,19300.0,49.0,51.0,41.0,2024-01-23 12:52:53.013785
d03e74df1b077535fb82990351bd3cac,construcao_ferramentas_jardim,55.0,2042.0,6.0,210.0,20.0,8.0,15.0,2024-01-23 12:52:53.013785
9a9469abcf027566dce48059c28ea832,cama_mesa_banho,52.0,689.0,2.0,1300.0,36.0,6.0,27.0,2024-01-23 12:52:53.013785
0c0fa42ae97a4bffaa0eb85df580be3b,relogios_presentes,47.0,165.0,1.0,250.0,18.0,13.0,14.0,2024-01-23 12:52:53.013785
7c9a2f11f8700d221c0482c045f7c98a,moveis_decoracao,49.0,1373.0,2.0,1500.0,20.0,65.0,20.0,2024-01-23 12:52:53.013785
8c96a6969d0fad20629fec9c1ea45e02,beleza_saude,50.0,1400.0,1.0,400.0,19.0,20.0,18.0,2024-01-23 12:52:53.013785
8339aa8a9674a681e4b0fcdb98f586ad,sinalizacao_e_seguranca,53.0,927.0,9.0,1050.0,16.0,20.0,16.0,2024-01-23 12:52:53.013785
e77889d0427c08739ef1e468a4bfd0c7,esporte_lazer,33.0,1269.0,2.0,300.0,16.0,6.0,20.0,2024-01-23 12:52:53.013785
27d969fb4a1dd28cee64babd02493e39,informatica_acessorios,59.0,478.0,2.0,150.0,20.0,20.0,20.0,2024-01-23 12:52:53.013785
ca923b3bd6392830e4e7651fca0adfb4,automotivo,56.0,1250.0,1.0,2050.0,16.0,5.0,11.0,2024-01-23 12:52:53.013785
8f08d9a3c02538bfb6110150a8bbad07,utilidades_domesticas,16.0,459.0,2.0,450.0,18.0,19.0,18.0,2024-01-23 12:52:53.013785
d655dc03de9b831ed22639631ab2958f,musica,35.0,1798.0,1.0,550.0,33.0,6.0,22.0,2024-01-23 12:52:53.013785
0cfc9fea40ee0f7006d150fbdf3fa808,livros_interesse_geral,22.0,1626.0,1.0,300.0,22.0,2.0,16.0,2024-01-23 12:52:53.013785
d62fefb3c6d0e49ff0c93e48d4445b95,beleza_saude,44.0,882.0,5.0,300.0,28.0,8.0,18.0,2024-01-23 12:52:53.013785
4a60d3216a54406b278c835697a068f4,audio,60.0,778.0,1.0,473.0,19.0,12.0,21.0,2024-01-23 12:52:53.013785
31c4950400b8768b84197f87c5ee62d5,fashion_bolsas_e_acessorios,34.0,111.0,1.0,100.0,16.0,10.0,16.0,2024-01-23 12:52:53.013785
7be620cd314ce6460033ba9017be7a7f,brinquedos,55.0,428.0,3.0,1238.0,32.0,35.0,17.0,2024-01-23 12:52:53.013785
5a329255ea8c3f2701845c4eef3be6ef,esporte_lazer,54.0,864.0,1.0,1340.0,100.0,10.0,11.0,2024-01-23 12:52:53.013785
184fcfe46ee8cc3a557011888422b5e7,telefonia,50.0,800.0,1.0,50.0,18.0,6.0,11.0,2024-01-23 12:52:53.013785
4e83195accfb3316528acc16d754fdb1,cama_mesa_banho,60.0,144.0,2.0,3500.0,34.0,20.0,41.0,2024-01-23 12:52:53.013785
b67444235c5d1da1b9e136f66fdf3fd0,,,,,7800.0,37.0,24.0,34.0,2024-01-23 12:52:53.013785
5163057a5b13644ad1e4af396cb43df1,fashion_calcados,57.0,404.0,4.0,1400.0,22.0,12.0,33.0,2024-01-23 12:52:53.013785
d8c83b90d022e897454430e70afdc5d3,automotivo,57.0,846.0,4.0,1525.0,68.0,9.0,35.0,2024-01-23 12:52:53.013785
ae4c65e3aee93bc068c671453b8aaea4,,,,,1300.0,35.0,35.0,35.0,2024-01-23 12:52:53.013785
4d496091a266c21966fc846720b8435c,utilidades_domesticas,35.0,813.0,1.0,1000.0,21.0,23.0,22.0,2024-01-23 12:52:53.013785
4ba03c3932b9242b45a6fe987149a517,telefonia,58.0,828.0,2.0,350.0,17.0,4.0,12.0,2024-01-23 12:52:53.013785
deaa363c2aa7c56c84e888bb74cc7176,cama_mesa_banho,53.0,478.0,1.0,300.0,16.0,10.0,16.0,2024-01-23 12:52:53.013785
7506f10f7460992e59f979011541e00e,cama_mesa_banho,60.0,298.0,1.0,6100.0,37.0,17.0,47.0,2024-01-23 12:52:53.013785
0ab3ab3b2869073aa9afe795fe9151aa,fashion_roupa_infanto_juvenil,52.0,494.0,4.0,600.0,36.0,10.0,26.0,2024-01-23 12:52:53.013785
